,Away,Date,win streak away,Hist Shots on Goal Away AVG,Hist Passes % Away AVG,Hist Shots off Goal Away AVG,Hist Total Shots Away AVG,Hist Blocked Shots Away AVG,Hist Fouls Away AVG,Hist Corner Kicks Away AVG,Hist Ball Possession Away AVG,Hist Yellow Cards Away AVG,Hist Goalkeeper Saves Away AVG,Hist intAwayScore AVG
752,Fulham,2025-01-14,1,4.783783783783784,81.20270270270271,5.04054054054054,12.891891891891891,3.0675675675675675,10.675675675675675,4.95945945945946,48.62162162162162,1.7027027027027026,2.972972972972973,1.5
753,Bournemouth,2025-01-14,2,5.297297297297297,80.60810810810811,5.135135135135135,14.324324324324325,3.891891891891892,10.054054054054054,5.972972972972973,55.95945945945946,2.1216216216216215,3.3513513513513513,1.5945945945945945
754,Manchester City,2025-01-14,2,3.0,81.61111111111111,2.8333333333333335,8.083333333333334,2.25,10.944444444444445,3.0555555555555554,34.388888888888886,2.3194444444444446,4.222222222222222,0.9861111111111112
755,Liverpool,2025-01-14,3,3.68,76.65333333333334,3.96,10.106666666666667,2.466666666666667,9.933333333333334,3.96,38.72,2.36,4.253333333333333,1.08
756,Aston Villa,2025-01-15,2,4.407894736842105,82.39473684210526,4.368421052631579,11.644736842105264,2.8684210526315788,13.144736842105264,4.5394736842105265,48.05263157894737,2.5526315789473686,2.763157894736842,1.4210526315789473
757,Crystal Palace,2025-01-15,1,4.026315789473684,83.96052631578948,4.5394736842105265,11.723684210526315,3.1578947368421053,11.723684210526315,5.118421052631579,55.88157894736842,2.0789473684210527,2.960526315789474,1.4210526315789473
758,Tottenham,2025-01-15,0,4.52054794520548,78.79452054794521,4.6438356164383565,12.767123287671232,3.6027397260273974,13.04109589041096,5.986301369863014,41.726027397260275,2.4246575342465753,3.506849315068493,1.6575342465753424
759,Wolves,2025-01-15,2,5.368421052631579,81.77631578947368,5.065789473684211,14.973684210526315,4.5394736842105265,10.973684210526315,6.157894736842105,50.86842105263158,2.289473684210526,2.723684210526316,1.8157894736842106
760,Brighton,2025-01-16,0,4.066666666666666,80.61333333333333,4.08,11.653333333333334,3.506666666666667,11.8,4.306666666666667,40.38666666666666,2.546666666666667,4.133333333333334,1.52
761,Southampton,2025-01-16,0,5.538461538461538,82.64102564102564,5.948717948717949,16.923076923076923,5.435897435897436,12.179487179487179,6.128205128205129,51.48717948717949,1.8205128205128205,2.4615384615384617,2.128205128205128
