,Home,Date,win streak home,Hist Shots on Goal Home AVG,Hist Passes % Home AVG,Hist Shots off Goal Home AVG,Hist Total Shots Home AVG,Hist Blocked Shots Home AVG,Hist Fouls Home AVG,Hist Corner Kicks Home AVG,Hist Ball Possession Home AVG,Hist Yellow Cards Home AVG,Hist Goalkeeper Saves Home AVG,Hist intHomeScore AVG
752,West Ham,2025-01-14,1,4.0519480519480515,79.22077922077922,4.961038961038961,12.337662337662337,3.324675324675325,10.2987012987013,4.792207792207792,41.246753246753244,1.8831168831168832,3.935064935064935,1.4415584415584415
753,Chelsea,2025-01-14,0,5.445945945945946,86.74324324324324,5.243243243243243,14.716216216216216,4.027027027027027,11.378378378378379,5.5675675675675675,59.148648648648646,2.675675675675676,3.2837837837837838,1.7567567567567568
754,Brentford,2025-01-14,1,4.5064935064935066,76.32467532467533,4.285714285714286,11.7012987012987,2.909090909090909,9.61038961038961,4.532467532467533,45.4025974025974,1.948051948051948,3.7012987012987013,1.5584415584415585
755,Nottingham Forest,2025-01-14,4,3.9324324324324325,76.16216216216216,4.594594594594595,11.486486486486486,2.9594594594594597,11.432432432432432,4.0,38.13513513513514,2.2162162162162162,2.8378378378378377,1.337837837837838
756,Everton,2025-01-15,0,4.0675675675675675,75.64864864864865,5.351351351351352,12.68918918918919,3.27027027027027,11.662162162162161,4.527027027027027,40.027027027027025,2.0675675675675675,3.108108108108108,0.9594594594594594
757,Leicester,2025-01-15,0,3.473684210526316,78.63157894736842,3.763157894736842,9.973684210526315,2.736842105263158,11.18421052631579,3.3157894736842106,44.78947368421053,2.1842105263157894,3.5526315789473686,1.1578947368421053
758,Arsenal,2025-01-15,3,5.618421052631579,85.59210526315789,5.276315789473684,15.986842105263158,5.092105263157895,10.302631578947368,6.7105263157894735,58.44736842105263,1.644736842105263,1.9736842105263157,2.3026315789473686
759,Newcastle,2025-01-15,4,5.223684210526316,82.63157894736842,5.118421052631579,14.592105263157896,4.25,10.421052631578947,5.7368421052631575,51.51315789473684,1.9473684210526316,3.1973684210526314,2.026315789473684
760,Ipswich,2025-01-16,1,3.25,78.75,3.45,9.6,2.9,12.15,4.35,40.4,2.75,3.85,1.0
761,Manchester United,2025-01-16,0,5.223684210526316,84.07894736842105,5.131578947368421,14.789473684210526,4.434210526315789,10.631578947368421,5.7368421052631575,51.61842105263158,2.0657894736842106,3.1578947368421053,1.394736842105263
